2012-05-04 14:35:56 Notice: Notice (8): Undefined index: comentario in [/var/www/Desarroll/controllers/posts_controller.php, line 108]
2012-05-04 14:43:10 Notice: Notice (8): Undefined index: comentario in [/var/www/Desarroll/controllers/posts_controller.php, line 108]
2012-05-04 14:44:04 Notice: Notice (8): Undefined index: comentario in [/var/www/Desarroll/controllers/mensajes_controller.php, line 108]
2012-05-04 14:47:42 Notice: Notice (8): Undefined variable: result in [/var/www/Desarroll/controllers/mensajes_controller.php, line 108]
2012-05-04 14:47:42 Notice: Notice (8): Undefined variable: result in [/var/www/Desarroll/controllers/mensajes_controller.php, line 108]
2012-05-04 14:51:53 Notice: Notice (8): Undefined variable: result in [/var/www/Desarroll/controllers/mensajes_controller.php, line 108]
2012-05-04 15:04:12 Notice: Notice (8): Undefined variable: result in [/var/www/Desarroll/controllers/mensajes_controller.php, line 116]
2012-05-04 15:07:18 Notice: Notice (8): Undefined index: Mensaje in [/var/www/Desarroll/views/posts/index.ctp, line 6]
2012-05-04 15:07:18 Notice: Notice (8): Undefined index: Mensaje in [/var/www/Desarroll/views/posts/index.ctp, line 7]
2012-05-04 15:07:18 Notice: Notice (8): Undefined index: Mensaje in [/var/www/Desarroll/views/posts/index.ctp, line 8]
2012-05-04 15:07:18 Notice: Notice (8): Undefined index: Mensaje in [/var/www/Desarroll/views/posts/index.ctp, line 9]
2012-05-04 15:09:15 Notice: Notice (8): Undefined index: Mensaje in [/var/www/Desarroll/views/posts/index.ctp, line 6]
2012-05-04 15:09:15 Notice: Notice (8): Undefined index: Mensaje in [/var/www/Desarroll/views/posts/index.ctp, line 7]
2012-05-04 15:09:15 Notice: Notice (8): Undefined index: Mensaje in [/var/www/Desarroll/views/posts/index.ctp, line 8]
2012-05-04 15:09:15 Notice: Notice (8): Undefined index: Mensaje in [/var/www/Desarroll/views/posts/index.ctp, line 9]
2012-05-04 16:00:29 Notice: Notice (8): Undefined variable: results in [/var/www/Desarroll/views/geos/index.ctp, line 4]
2012-05-04 16:06:48 Notice: Notice (8): Undefined variable: results in [/var/www/Desarroll/views/geos/index.ctp, line 4]
